Entity ID,Entity Type,File Found In,Line Number
input_boolean.school_day,input_boolean,automations.yaml,39
notify.alexa_media_lounge_plus,notify,automations.yaml,47
notify.jacob_notify,notify,automations.yaml,51
notify.mobile_app_joseph,notify,automations.yaml,52
input_boolean.school_day,input_boolean,automations.yaml,72
notify.alexa_media_lounge_plus,notify,automations.yaml,80
notify.jacob_notify,notify,automations.yaml,84
notify.mobile_app_joseph,notify,automations.yaml,85
input_boolean.school_day,input_boolean,automations.yaml,105
notify.alexa_media_boy_s_new_dot,notify,automations.yaml,113
input_boolean.school_day,input_boolean,automations.yaml,129
notify.alexa_media,notify,automations.yaml,132
sensor.school_event_tomorrow,sensor,automations.yaml,138
sensor.school_event_tomorrow,sensor,automations.yaml,139
media_player.lounge_plus,media_player,automations.yaml,147
media_player.boy_s_new_dot,media_player,automations.yaml,148
media_player.bedroom_dot,media_player,automations.yaml,149
media_player.kitchen_dot,media_player,automations.yaml,150
notify.alexa_media_boy_s_new_dot,notify,automations.yaml,167
notify.alexa_media_lounge_plus,notify,automations.yaml,182
sensor.bedroom_temperature,sensor,automations.yaml,185
person.jon,person,automations.yaml,201
person.natalie,person,automations.yaml,204
notify.alexa_media,notify,automations.yaml,207
media_player.lounge_plus,media_player,automations.yaml,214
media_player.boy_s_new_dot,media_player,automations.yaml,215
media_player.bedroom_dot,media_player,automations.yaml,216
alarm_control_panel.alarmo,alarm_control_panel,automations.yaml,223
notify.alexa_media,notify,automations.yaml,226
media_player.lounge_plus,media_player,automations.yaml,236
media_player.boy_s_new_dot,media_player,automations.yaml,237
media_player.bedroom_dot,media_player,automations.yaml,238
media_player.diningroom_dot,media_player,automations.yaml,239
notify.mobile_app_jon_phone,notify,automations.yaml,240
binary_sensor.front_door,binary_sensor,automations.yaml,254
notify.alexa_media_lounge_plus,notify,automations.yaml,260
notify.alexa_media_lounge_plus,notify,automations.yaml,280
notify.mobile_app_jon_phone,notify,automations.yaml,287
person.jon,person,automations.yaml,298
person.natalie,person,automations.yaml,299
person.jacob,person,automations.yaml,300
person.joseph,person,automations.yaml,301
notify.alexa_media_bedroom_dot,notify,automations.yaml,309
light.hall_light,light,automations.yaml,316
person.jacob,person,automations.yaml,337
person.joseph,person,automations.yaml,340
notify.alexa_media_everywhere,notify,automations.yaml,343
switch.jacob_club,switch,automations.yaml,354
switch.joseph_club,switch,automations.yaml,355
input_boolean.school_day,input_boolean,automations.yaml,372
notify.alexa_media_lounge_plus,notify,automations.yaml,380
notify.jacob_notify,notify,automations.yaml,384
input_boolean.school_day,input_boolean,automations.yaml,401
notify.alexa_media_lounge_plus,notify,automations.yaml,410
notify.mobile_app_joseph,notify,automations.yaml,413
weather.met_office_deal,weather,automations.yaml,436
weather.openmeteo,weather,automations.yaml,437
weather.met_no,weather,automations.yaml,438
sensor.school_event_today,sensor,automations.yaml,449
sensor.met_office_deal_temperature,sensor,automations.yaml,452
sensor.openmeteo_temperature,sensor,automations.yaml,453
sensor.met_no_temperature,sensor,automations.yaml,454
